Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,year
Riding in Cars with Boys,29781453,29781453,NA,47000000,Oct 19 2001,PG-13,131,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Penny Marshall,48,6.2,11895,2001
Ride With the Devil,630779,630779,NA,35000000,Nov 24 1999,R,NA,USA Films,Based on Book/Short Story,Western,Historical Fiction,Ang Lee,63,6.4,1873,1999
The Ring Two,75941727,161941727,NA,50000000,Mar 18 2005,PG-13,111,Dreamworks SKG,Remake,Horror,Contemporary Fiction,NA,20,5.1,28408,2005
The Adventures of Rocky & Bullwinkle,26000610,35129610,NA,76000000,Jun 30 2000,PG,91,Universal,Based on TV,Comedy,Kids Fiction,NA,42,4.1,10320,2000
All the Real Girls,549666,703020,NA,1000000,Feb 14 2003,R,NA,Sony Pictures Classics,Original Screenplay,Drama,NA,David Gordon Green,71,7.1,5632,2003
Real Women Have Curves,5853194,5853194,NA,3000000,Oct 18 2002,PG-13,NA,Newmarket Films,Based on Play,Comedy,Contemporary Fiction,NA,83,7,4396,2002
Reno 911!: Miami,20342161,20342161,16323972,10000000,Feb 23 2007,R,81,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,NA,35,5.8,15684,2007
Rounders,22921898,22921898,NA,12000000,Sep 11 1998,R,120,Miramax,Original Screenplay,Drama,Contemporary Fiction,John Dahl,64,7.3,45439,1998
Rendition,9736045,20437142,6007008,27500000,Oct 19 2007,R,121,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Gavin Hood,46,6.9,23223,2007
The Rocker,6409528,8767338,7970409,15000000,Aug 20 2008,PG-13,102,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,40,6.3,11859,2008
Rock Star,16991902,19317765,NA,38000000,Sep 07 2001,R,NA,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Stephen Herek,52,5.8,15806,2001
The Rookie,75600072,80693537,NA,22000000,Mar 29 2002,G,128,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,82,5.5,8453,2002
Roll Bounce,17380866,17500866,NA,10000000,Sep 23 2005,PG-13,NA,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,64,5,3167,2005
Romeo Must Die,55973336,91036760,NA,25000000,Mar 22 2000,R,114,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.9,25309,2000
Ronin,41610884,41610884,NA,55000000,Sep 25 1998,R,121,MGM,Original Screenplay,Action,Contemporary Fiction,John Frankenheimer,68,7.2,57484,1998
Red Planet,17480890,33463969,NA,80000000,Nov 10 2000,PG-13,NA,Warner Bros.,Original Screenplay,Action,Science Fiction,NA,12,5.3,20989,2000
Requiem for a Dream,3635482,7390108,NA,4500000,Oct 06 2000,Open,NA,Artisan,Based on Book/Short Story,Drama,Contemporary Fiction,Darren Aronofsky,78,8.5,185226,2000
Rat Race,56607223,86607223,NA,48000000,Aug 17 2001,PG-13,112,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jerry Zucker,43,6.4,40087,2001
The Real Cancun,3816594,3816594,NA,4000000,Apr 25 2003,R,NA,New Line,Based on TV,Documentary,Factual,NA,35,2.3,3211,2003
Remember the Titans,115654751,136706683,NA,30000000,Sep 29 2000,PG,113,Walt Disney Pictures,Based on Real Life Events,Drama,Contemporary Fiction,Boaz Yakin,72,7.5,49844,2000
Righteous Kill,40081410,76781410,16209689,60000000,Sep 12 2008,R,100,Overture Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,20,6,34641,2008
Road Trip,68525609,119739110,NA,16000000,May 19 2000,R,94,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,59,6.4,44702,2000
The Ruins,17432844,22177122,10610865,25000000,Apr 04 2008,R,NA,Paramount Pictures,Based on Book/Short Story,Horror,Contemporary Fiction,NA,47,6,23752,2008
Rules of Engagement,61322858,71719931,NA,60000000,Apr 07 2000,R,127,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,William Friedkin,37,6.2,18462,2000
Running Scared,6855137,8345277,NA,17000000,Feb 24 2006,R,NA,New Line,Original Screenplay,Action,Contemporary Fiction,NA,40,7.5,39447,2006
Running With Scissors,6775659,7213629,1877732,12000000,Oct 20 2006,R,116,Sony Pictures,Based on Book/Short Story,Comedy,Dramatization,NA,30,6,12926,2006
Rush Hour 2,226164286,347425832,NA,90000000,Aug 03 2001,PG-13,90,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,51,6.4,52049,2001
Rush Hour 3,140125968,253025968,40854922,180000000,Aug 10 2007,PG-13,91,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,19,6,39312,2007
Rush Hour,141186864,245300000,NA,35000000,Sep 18 1998,PG-13,98,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,60,6.8,55248,1998
Rushmore,17105219,19080435,NA,10000000,Dec 11 1998,R,89,Walt Disney Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Wes Anderson,87,7.8,53192,1998
Ravenous,2062406,2062406,NA,12000000,Mar 19 1999,R,NA,20th Century Fox,Original Screenplay,Horror,Historical Fiction,NA,39,6.9,15804,1999
Raise Your Voice,10411980,14811980,NA,15000000,Oct 08 2004,PG,NA,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,16,5.2,8634,2004
Hotel Rwanda,23519128,33919128,NA,17500000,Dec 22 2004,PG-13,NA,MGM,Original Screenplay,Drama,Dramatization,NA,90,8.3,92106,2004
Sahara,68671925,121671925,NA,145000000,Apr 08 2005,PG-13,123,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,NA,39,5.9,30739,2005
The Saint,61363304,169400000,NA,90000000,Apr 04 1997,PG-13,116,Paramount Pictures,Based on TV,Action,Contemporary Fiction,Phillip Noyce,30,5.9,27413,1997
The Salon,139084,139084,NA,1500000,May 11 2007,PG-13,NA,Freestyle Releasing,Based on Play,Comedy,Contemporary Fiction,NA,12,3.5,308,2007
I Am Sam,40270895,40270895,NA,22000000,Dec 28 2001,PG-13,132,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,34,7.4,36448,2001
The Salton Sea,676698,676698,NA,18000000,Apr 26 2002,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,63,7.1,16415,2002
Sex and the City 2,95347692,288347692,NA,95000000,May 27 2010,R,NA,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,NA,15,3.9,13796,2010
Saw,55185045,103096345,NA,1200000,Oct 29 2004,R,100,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,NA,48,7.7,112785,2004
Saw II,87025093,152925093,44699720,5000000,Oct 28 2005,R,91,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,36,6.8,76530,2005
Saw III,80238724,163876815,47153811,10000000,Oct 27 2006,R,107,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,25,6.3,60784,2006
Saw IV,63300095,134528909,31998452,10000000,Oct 26 2007,R,NA,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,17,6,44730,2007
Saw V,56746769,113146769,26535833,10800000,Oct 24 2008,R,NA,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,NA,13,5.7,31219,2008
Saw VI,27693292,61259697,8308717,11000000,Oct 23 2009,R,91,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Kevin Greutert,42,6.2,18091,2009
Say It Isn't So,5516708,5516708,NA,25000000,Mar 23 2001,R,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,9,4.6,7736,2001
The Adventures of Sharkboy and Lavagirl in 3-D,39177684,69425966,NA,50000000,Jun 10 2005,PG,NA,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,20,3.6,5619,2005
Seabiscuit,120277854,148336445,NA,86000000,Jul 25 2003,PG-13,141,Universal,Based on Book/Short Story,Drama,Historical Fiction,Gary Ross,77,7.4,31033,2003
A Scanner Darkly,5501616,7405084,NA,20000000,Jul 07 2006,R,NA,Warner Independent,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Richard Linklater,68,7.2,41928,2006
Scary Movie 2,71277420,141189101,NA,45000000,Jul 04 2001,R,82,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,14,4.7,43941,2001
Scary Movie 3,110000082,155200000,NA,45000000,Oct 24 2003,PG-13,84,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37,5.4,42829,2003
Scary Movie 4,90710620,178710620,22401247,40000000,Apr 14 2006,PG-13,NA,Weinstein/Dimension,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37,5,39542,2006
Scooby-Doo,153294164,276294164,NA,84000000,Jun 14 2002,PG,86,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,28,4.7,26018,2002
About Schmidt,65005217,105823486,NA,30000000,Dec 13 2002,R,125,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Alexander Payne,85,7.3,53760,2002
School for Scoundrels,17807569,17807569,13739501,20000000,Sep 29 2006,PG-13,101,MGM,Remake,Comedy,Contemporary Fiction,Todd Phillips,26,6,15536,2006
Scoop,10525717,39125717,NA,4000000,Jul 28 2006,PG-13,NA,Focus/Rogue Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Woody Allen,39,6.8,30336,2006
The Score,71069884,113542091,NA,68000000,Jul 13 2001,R,124,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Frank Oz,74,6.8,42616,2001
Scream,103046663,173046663,NA,15000000,Dec 20 1996,R,110,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,81,2.9,217,1996
Scream 2,101363301,101363301,NA,24000000,Dec 12 1997,R,120,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,80,5.9,48196,1997
Scream 3,89138076,161838076,NA,40000000,Feb 04 2000,R,118,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,38,5.3,38230,2000
The Scorpion King,90580000,164529000,NA,60000000,Apr 19 2002,PG-13,91,Universal,Spin-Off,Action,Fantasy,Chuck Russell,40,5.3,30359,2002
Stardust,38634938,135556675,25129402,70000000,Aug 10 2007,PG-13,128,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Matthew Vaughn,76,7.9,87883,2007
Selena,35450113,35450113,NA,20000000,Mar 21 1997,PG,127,Warner Bros.,Based on Real Life Events,Drama,Dramatization,NA,63,6.3,7996,1997
The Sentinel,36280697,77280697,17497571,60000000,Apr 21 2006,PG-13,NA,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,33,6.1,23567,2006
September Dawn,901857,901857,NA,10100000,Aug 24 2007,R,110,Black Diamond Pictures,Original Screenplay,Western,Historical Fiction,NA,13,5.5,1823,2007
You Got Served,40066497,48066497,NA,8000000,Jan 30 2004,PG-13,95,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,16,2.6,17830,2004
Serving Sara,16930185,20146150,NA,29000000,Aug 23 2002,PG-13,NA,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,5,5,7973,2002
Session 9,378176,1619602,NA,1500000,Aug 10 2001,R,NA,NA,NA,(Missing),NA,Brad Anderson,60,6.8,14685,2001
Seven Years in Tibet,37945884,131445884,NA,70000000,Oct 10 1997,PG-13,139,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Jean-Jacques Annaud,59,6.7,29020,1997
Sex and the City,152647258,416047258,85061666,57500000,May 30 2008,R,NA,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,NA,49,5.4,46837,2008
Swordfish,69772969,147080413,NA,80000000,Jun 08 2001,R,99,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Dominic Sena,25,6.3,57952,2001
Something's Gotta Give,124685242,266685242,NA,80000000,Dec 12 2003,PG-13,128,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,70,6.8,36303,2003
Sugar Town,178095,178095,NA,250000,Sep 17 1999,R,NA,October Films,NA,Comedy,NA,NA,67,5.6,566,1999
Shadow of the Vampire,8279017,8279017,NA,8000000,Dec 29 2000,R,NA,Lionsgate,Original Screenplay,Drama,Historical Fiction,E. Elias Merhige,81,6.8,18221,2000
Shaft,70327868,107190108,NA,53012938,Jun 16 2000,R,99,Paramount Pictures,Remake,Action,Contemporary Fiction,John Singleton,68,5.9,32881,2000
The Shaggy Dog,61123569,87123569,28587103,60000000,Mar 10 2006,PG,NA,Walt Disney Pictures,Remake,Comedy,Fantasy,Brian Robbins,27,4.1,6116,2006
Scary Movie,157019771,277200000,NA,19000000,Jul 07 2000,R,88,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,53,6,68541,2000
Shaun of the Dead,13542874,29629128,NA,5000000,Sep 24 2004,R,NA,Focus/Rogue Pictures,Original Screenplay,Comedy,Fantasy,Edgar Wright,91,8,134693,2004
Shortbus,1985292,1985292,NA,2000000,Oct 04 2006,Not Rated,NA,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,NA,66,6.7,14276,2006
She's All That,63465522,63465522,NA,10000000,Jan 29 1999,PG-13,91,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,38,5.4,28498,1999
She's the Man,33889159,56889159,33340509,25000000,Mar 17 2006,PG-13,NA,Paramount Pictures,Based on Play,Romantic Comedy,Contemporary Fiction,Andy Fickman,44,6.4,26513,2006
Sherrybaby,199176,622806,NA,2000000,Sep 08 2006,R,NA,IFC Films,Original Screenplay,Drama,Contemporary Fiction,NA,74,6.7,6372,2006
Shallow Hal,70836296,70836296,NA,40000000,Nov 09 2001,PG-13,113,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,50,6,35878,2001
Silent Hill,46982632,99982632,22104517,50000000,Apr 21 2006,R,NA,Sony Pictures,Based on Game,Horror,Contemporary Fiction,Christophe Gans,29,6.5,65485,2006
Shutter Island,128012934,294512934,22083616,80000000,Feb 19 2010,R,NA,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Martin Scorsese,67,8,105706,2010
Shakespeare in Love,100317794,279500000,NA,26000000,Dec 11 1998,R,122,Miramax,Original Screenplay,Romantic Comedy,Historical Fiction,John Madden,93,7.4,77911,1998
In the Shadow of the Moon,1134358,1134358,NA,2000000,Sep 07 2007,PG,100,ThinkFilm,Based on Real Life Events,Documentary,Factual,NA,94,8,2974,2007
Sherlock Holmes,209028679,518249844,42276167,80000000,Dec 25 2009,PG-13,NA,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,Guy Ritchie,69,7.5,91555,2009
She's Out of My League,31628317,49219151,7889235,20000000,Mar 12 2010,(Missing),NA,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,57,6.7,17449,2010
Shooter,47003582,95203582,57333255,60000000,Mar 23 2007,R,125,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Antoine Fuqua,48,7.2,149,2007
Shrek,267655011,484399218,NA,50000000,May 18 2001,PG,90,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,8,163855,2001
Shrek 2,441226247,919838758,NA,70000000,May 19 2004,PG,92,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,7.5,95658,2004
Shrek the Third,322719944,798958162,176400340,160000000,May 18 2007,PG,92,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,NA,41,6.1,59778,2007
Shark Tale,160861908,367275019,NA,75000000,Oct 01 2004,PG,90,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Rob Letterman,35,5.9,40019,2004
Shattered Glass,2207975,2932719,NA,6000000,Oct 31 2003,PG-13,NA,Lionsgate,Based on Real Life Events,Drama,Dramatization,NA,91,7.4,14575,2003
Stealing Harvard,13973532,13973532,NA,25000000,Sep 13 2002,PG-13,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,8,4.7,6899,2002
Showtime,37948765,78948765,NA,85000000,Mar 15 2002,PG-13,95,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Dey,24,5.3,22128,2002
Sicko,24538513,33538513,17438209,9000000,Jun 22 2007,PG-13,NA,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,93,8.2,40886,2007
Signs,227965690,408265690,NA,70702619,Aug 02 2002,PG-13,106,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74,6.9,111561,2002
Simon Birch,18253415,18253415,NA,20000000,Sep 11 1998,PG,110,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Mark Steven Johnson,44,6.7,11371,1998
A Simple Wish,8165213,8165213,NA,28000000,Jul 11 1997,PG,NA,Universal,Original Screenplay,Comedy,Fantasy,Michael Ritchie,27,4.9,1545,1997
The Simpsons Movie,183135014,527071022,96359085,72500000,Jul 27 2007,PG-13,86,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89,7.6,117656,2007
Sin City,74103820,158753820,NA,40000000,Apr 01 2005,R,126,Miramax/Dimension,Based on Comic/Graphic Novel,Action,Fantasy,Robert Rodriguez,77,8.3,255814,2005
The Singing Detective,336456,524747,NA,8000000,Oct 24 2003,R,NA,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,NA,38,5.6,4441,2003
The Sixth Sense,293506292,672806292,NA,40000000,Aug 06 1999,PG-13,107,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,85,8.2,238745,1999
The Skeleton Key,47907715,92907715,NA,40000000,Aug 12 2005,PG-13,NA,Universal,Original Screenplay,Horror,Contemporary Fiction,Iain Softley,38,6.5,29810,2005
The Skulls,35007180,35007180,NA,15000000,Mar 31 2000,PG-13,107,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Rob Cohen,8,5.3,14903,2000
Sky High,63939454,81627454,NA,60000000,Jul 29 2005,PG,102,Walt Disney Pictures,Original Screenplay,Adventure,Super Hero,NA,73,6.6,20923,2005
Slackers,4814244,4814244,NA,11000000,Feb 01 2002,R,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,11,4.9,7934,2002
Sleepy Hollow,101068340,207068340,NA,70000000,Nov 19 1999,R,105,Paramount Pictures,Based on Book/Short Story,Horror,Historical Fiction,Tim Burton,68,7.5,107511,1999
Lucky Number Slevin,22495466,55495466,26858545,27000000,Apr 07 2006,R,NA,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Paul McGuigan,51,7.8,91145,2006
The Secret Life of Bees,37766350,39612166,17077991,11000000,Oct 17 2008,PG-13,110,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,NA,57,7,7077,2008
Hannibal,165092266,350100280,NA,87000000,Feb 09 2001,R,131,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Ridley Scott,39,6.4,74862,2001
Slow Burn,1237615,1237615,893953,15500000,Apr 13 2007,R,93,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,12,5.9,2318,2007
Sleepover,9408183,9408183,NA,10000000,Jul 09 2004,PG,NA,MGM,Original Screenplay,Comedy,Contemporary Fiction,NA,15,4.6,4774,2004
The Bridge of San Luis Rey,49981,1696765,NA,24000000,Jun 10 2005,PG,NA,Fine Line,Based on Book/Short Story,Drama,NA,NA,4,5,1913,2005
Slither,7802450,12834936,7475776,15250000,Mar 31 2006,R,NA,Universal,Original Screenplay,Horror,Science Fiction,NA,85,6.6,26101,2006
Slumdog Millionaire,141319928,365257315,31952272,14000000,Nov 12 2008,R,116,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Danny Boyle,94,8.3,176325,2008
Slums of Beverly Hills,5502773,5502773,NA,5000000,Aug 14 1998,R,NA,Fox Searchlight,Based on Real Life Events,Comedy,Dramatization,Tamara Jenkins,79,6.4,5821,1998
Small Soldiers,55143823,71743823,NA,40000000,Jul 10 1998,PG-13,110,Dreamworks SKG,Original Screenplay,Comedy,Kids Fiction,Joe Dante,46,5.9,20571,1998
Smokin' Aces,35662731,56047261,35817034,17000000,Jan 26 2007,R,108,Universal,Original Screenplay,Comedy,Contemporary Fiction,Joe Carnahan,28,6.6,57313,2007
Someone Like You,27338033,38684906,NA,23000000,Mar 30 2001,PG-13,97,20th Century Fox,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Tony Goldwyn,41,5.8,10073,2001
Death to Smoochy,8355815,8374062,NA,50000000,Mar 29 2002,R,NA,Warner Bros.,Original Screenplay,Black Comedy,Contemporary Fiction,Danny De Vito,42,6.2,22379,2002
Simply Irresistible,4398989,4398989,NA,6000000,Feb 05 1999,PG-13,NA,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,14,4.8,6927,1999
Summer Catch,19693891,19693891,NA,17000000,Aug 24 2001,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,NA,7,4.6,6848,2001
There's Something About Mary,176484651,360099999,NA,22000000,Jul 15 1998,R,119,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,83,7.2,96443,1998
Snake Eyes,55591409,103891409,NA,73000000,Aug 07 1998,R,99,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,41,5.8,29321,1998
Snakes on a Plane,34020814,62020814,23704179,33000000,Aug 18 2006,R,105,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,68,6,65841,2006
Lemony Snicket's A Series of Unfortunate Events,118627117,201627117,NA,100000000,Dec 17 2004,PG,108,Paramount Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brad Silberling,71,6.9,51614,2004
House of Sand and Fog,13005485,16157923,NA,16500000,Dec 19 2003,R,NA,Dreamworks SKG,Based on Book/Short Story,Drama,Contemporary Fiction,NA,75,7.8,29777,2003
A Sound of Thunder,1900451,6300451,NA,80000000,Sep 02 2005,PG-13,NA,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Peter Hyams,6,4.1,9915,2005
See No Evil,15032800,15387513,45391536,8000000,May 19 2006,R,NA,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,NA,9,5,10035,2006
The Shipping News,11405825,24405825,NA,35000000,Dec 25 2001,R,NA,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Lasse Hallstrom,55,6.7,17338,2001
Shanghai Knights,60470220,60470220,NA,50000000,Feb 07 2003,PG-13,114,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,David Dobkin,66,6.2,24893,2003
Shanghai Noon,56932305,71189835,NA,55000000,May 26 2000,PG-13,110,Walt Disney Pictures,Original Screenplay,Western,Historical Fiction,Tom Dey,78,6.6,32446,2000
Snow Dogs,81150692,115010692,NA,32000000,Jan 18 2002,PG,99,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brian Levant,23,4.9,7561,2002
Snow Falling on Cedars,14378353,14378353,NA,36000000,Dec 24 1999,PG-13,NA,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,NA,40,6.7,8444,1999
Sunshine,3688560,32030610,6342481,40000000,Jul 20 2007,R,108,Fox Searchlight,Original Screenplay,Thriller/Suspense,Science Fiction,Danny Boyle,74,7.3,74535,2007
Snow Day,60008303,62452927,NA,13000000,Feb 11 2000,PG,89,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,26,4.4,4611,2000
Sorority Boys,10198766,12516222,NA,12000000,Mar 22 2002,R,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,13,5.1,7392,2002
Solaris,14970038,14970038,NA,47000000,Nov 27 2002,PG-13,NA,20th Century Fox,Remake,Drama,Science Fiction,Steven Soderbergh,65,6.2,33151,2002
Sonny,17639,17639,NA,4000000,Dec 27 2002,R,NA,NA,NA,(Missing),NA,NA,23,5.7,1941,2002
Standard Operating Procedure,228830,228830,NA,5000000,Apr 25 2008,R,NA,Sony Pictures Classics,Based on Real Life Events,Documentary,Factual,NA,80,7.5,1640,2008
The Sorcerer's Apprentice,62492818,200092818,NA,160000000,Jul 14 2010,PG,110,Walt Disney Pictures,Based on Short Film,Adventure,Fantasy,NA,42,6.4,9108,2010
Soul Food,43492389,43492389,NA,7500000,Sep 26 1997,R,114,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,80,6.4,2636,1997
Soul Plane,13922211,14553807,NA,16000000,May 28 2004,R,NA,MGM,Original Screenplay,Comedy,Contemporary Fiction,NA,19,3.7,9143,2004
Space Jam,90463534,250200000,NA,80000000,Nov 15 1996,PG,87,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,Joe Pytka,36,5.6,29293,1996
Spanglish,42044321,54344321,NA,75000000,Dec 17 2004,PG-13,103,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,James L. Brooks,52,6.7,30660,2004
Spawn,54979992,87949859,NA,40000000,Jul 31 1997,PG-13,97,New Line,Based on Comic/Graphic Novel,Action,Contemporary Fiction,NA,20,4.8,21366,1997
Superbad,121463226,169863226,134555373,17500000,Aug 17 2007,R,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Greg Mottola,87,7.8,134212,2007
Space Chimps,30105968,59517784,13349286,37000000,Jul 18 2008,G,NA,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,NA,36,4.5,4324,2008
Space Cowboys,90454043,128874043,NA,65000000,Aug 04 2000,PG-13,130,Warner Bros.,Original Screenplay,Adventure,Science Fiction,Clint Eastwood,79,6.3,29983,2000
Speed Racer,43945766,93394462,14217924,120000000,May 09 2008,PG,NA,Warner Bros.,Based on TV,Action,Science Fiction,Andy Wachowski,38,6.3,32672,2008
The Spiderwick Chronicles,71195053,162839667,27525903,92500000,Feb 14 2008,PG,NA,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Mark Waters,79,6.8,18715,2008
Sphere,37068294,50168294,NA,73000000,Feb 13 1998,PG-13,132,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Barry Levinson,12,5.6,31461,1998
Spider-Man 2,373524485,783705001,4196484,200000000,Jun 30 2004,PG-13,127,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,93,7.7,141940,2004
Spider-Man 3,336530303,890871626,124058348,258000000,May 04 2007,PG-13,139,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,63,6.4,141513,2007
Spider-Man,403706375,821708551,NA,139000000,May 03 2002,PG-13,121,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,89,7.4,167524,2002
Scott Pilgrim vs. The World,31167395,43149143,NA,85000000,Aug 13 2010,PG-13,112,Universal,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Edgar Wright,81,8.1,17461,2010
See Spot Run,33357476,43057552,NA,16000000,Mar 02 2001,PG,97,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,NA,24,4.9,3673,2001
Superman Returns,200120000,391120000,81580739,232000000,Jun 28 2006,PG-13,157,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Bryan Singer,76,6.6,102751,2006
